include,acct,fy,bill,appropriations,agency,administration,suboffice,suboffice_appr,program,program_appr,reference,suboffice_url,notes,summary,mitigation,adaptation,science,power,transportation,industry,agriculture,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment
Y,089-0321-0-1-270-0201,2021,Energy & Water,Y,DOE,EERE,Advanced Manufacturing,360000,Energy Systems,46500,DOE FY22 Budget Request Volume 3 Part 1; Page 393,https://www.energy.gov/eere/amo/advanced-manufacturing-office,"Energy Systems will focus on both manufacturing RDD&D advances for energy conversion, utilization, and storage technologies used across all sectors and innovative use of these energy system technologies within industrial facilities. Key activities include combined heat and power, system approaches for efficient and flexible facility energy use, and energy storage systems. The Energy Systems subprogram will support applied research into the optimization of energy system operations at manufacturing facilities to minimize energy use and maximize decarbonization.  This subprogram supports demonstration of packaged CHP systems that reduce installation costs and accelerate project development timelines, research into the use  hydrogen or renewable fuels in CHP, and the integration of CHP systems along with other technologies like on-site renewable generation, battery storage, and thermal energy storage into microgrid configurations. Also provides technical assitance to facilitiest to encourage deployment.","The Energy Systems subprogram will focus on both manufacturing RDD&D advances for energy conversion, utilization, and storage technologies used across all sectors and innovative use of these energy system technologies within industrial facilities. ",46500,,,,,46500,,,,23250,,,,,,,23250,15500,15500,15500
Y,089-0321-0-1-270-0201,2021,Energy & Water,Y,DOE,EERE,Advanced Manufacturing,360000,Manufacturing Enterprise,35297,DOE FY22 Budget Request Volume 3 Part 1; Page 396,https://www.energy.gov/eere/amo/advanced-manufacturing-office,"Manufacturing Enterprise will focus on enabling value chains to be nimble, responsive, and adaptive to disruption, change and opportunity; making knowledge and transformational tools accessible across manufacturing organizations; and developing the future manufacturing workforce. The Manufacturing Enterprise subprogram will support technical assistance and stakeholder engagement to encourage the deployment of energy and water efficient technologies and processes.  These technical assistance efforts will support manufacturers in increasing their operational efficiency so they can save money and reduce carbon emissions. Technical areas include technologies for flexible and adaptable manufacturing, waste reduction, water efficiency, workforce development, secure digital and cyber- physical systems, and technical assistance for energy management. Activities include the expansion of the Better Plants program to include new initiatives related to energy-intensive manufacturers, carbon reduction, technology validation, and training opportunities. By focusing in areas with high industrial environmental emissions and energy communities in FY22,  this technical assistance work will also support the Justice40 initiative. ","The Manufactruing Enterprise subprogram will focus on enabling value chains to be nimble, responsive, and adaptive to disruption, change and opportunity; making knowledge and transformational tools accessible across manufacturing organizations; and developing the future manufacturing workforce.",35297,,,,,35297,,,,35297,,,,,,,,,,35297
Y,089-0321-0-1-270-0204,2021,Energy & Water,Y,DOE,EERE,Federal Energy Management Program ,40000,No Program/Research Area (Federal Energy Management Program),,DOE FY22 Budget Request Volume 3 Part 1; Page 404,https://www.energy.gov/eere/femp/federal-energy-management-program,"FEMP works with federal agencies to provide necessary technical assistance to overcome barriers to design affordable, replicable energy and water projects that optimize facilities. FEMP will provide technical assistance that addresses specific facility, site, mission, and agency needs and utilize all available technologies and demonstrate best practices. FEMP facilitates identification of barriers and capture lessons learned with a focus on continuous improvement. FEMP will assist Federal agencies in identifying, designing, and completing energy-saving projects and related infrastructure investments. FEMP provides necessary technical assistance to overcome barriers to design affordable, replicable, energy and water projects that optimize facilities and fleets. The funding also supports collaboration with the Executive Office of the President–Council on Environmental Quality and the Office of Management and Budget to develop Federally focused Executive Orders, implementation guidance, and agency performance targets.","The Federal Energy Management Program’s (FEMP) priority is to help Federal agencies advance the energy efficiency and resilience of their operations, while addressing climate change, increasing electrification, and minimizing the carbon footprint ",40000,,,20000,,,,20000,,13333,13333,13333,,,,,,,,40000
Y,089-0321-0-1-270-0202,2021,Energy & Water,Y,DOE,EERE,Building Technologies,290000,Emerging Technologies ,145000,DOE FY22 Budget Request Volume 3 Part 1; Page 418,https://www.energy.gov/eere/buildings/building-technologies-office,"This subprogram program sponsors applied R&D and demonstration in energy-efficient, demand-flexible low- carbon building technologies, enabling innovation and job creation in a range of U.S. industries from building design, construction, and renovation to building equipment and component manufacturing to building commissioning and operation. ET conducts applied research and development at the component, system, and building integration levels in the following technology areas: Buildings-to-Grid R&D, Lighting, HVAC & Refrigeration, Building Envelope, and Building Energy Modeling. In addition, BTO collaborates with industry, academia, and other leaders across the building sector to conduct develop, demonstrate, and validate the performance of connected, energy-efficient building components and sub-systems into efficient and flexible building systems. Through the ET program, BTO also advances building construction and retrofit technologies that help building owners and occupants reduce energy costs and related pollution while providing load flexibility to support rapidly increasing variable renewables on the electricity grid. ","The Emerging Technology (ET) program sponsors applied R&D and demonstration in energy-efficient, demand-flexible low- carbon building technologies, enabling innovation and job creation in a range of U.S. industries from building design, construction, and renovation to building equipment and component manufacturing to building commissioning and operation.",145000,,,,,,,145000,,72500,,72500,,,,,,,,145000
Y,089-0321-0-1-270-0202,2021,Energy & Water,Y,DOE,EERE,Building Technologies,290000,Commercial Buildings Integration ,50000,DOE FY22 Budget Request Volume 3 Part 1; Page 424,https://www.energy.gov/eere/buildings/building-technologies-office,"BTO’s Commercial Buildings Integration (CBI) program plays a critical role in demonstrating and deploying replicable and scalable solutions that will enable U.S. businesses and organizations to reduce U.S. building GHG emissions to net zero by 2050. CBI advances a range activities with innovative building technologies; emphasizing solutions that do not sacrifice the productivity or comfort of building occupants or the performance of labor-saving devices, appliances, and equipment and paving the way for the voluntary integration of cost-effective technologies to produce high-performing commercial buildings. ","The Commercial Buildings Integration (CBI) program advances a range activities with innovative building technologies; emphasizing solutions that do not sacrifice the productivity or comfort of building occupants or the performance of labor-saving devices, appliances, and equipment and paving the way for the voluntary integration of cost-effective technologies to produce high-performing commercial buildings. ",50000,,,,,,,50000,,50000,,,,,,,,,25000,25000
Y,089-0321-0-1-270-0202,2021,Energy & Water,Y,DOE,EERE,Building Technologies,290000,Residential Buildings Integration ,40000,DOE FY22 Budget Request Volume 3 Part 1; Page 424,https://www.energy.gov/eere/buildings/building-technologies-office,"Through a combination of R&D, technical assistance, and modeling and analysis, RBI invests in technologies and approaches with the greatest promise for delivering energy, cost, carbon, and other benefits at scale. RBI’s investments focus on developing efficiency-related building technologies that require minimal onsite construction and installation time, are affordable and appealing to the market, and leverage efforts to increase the productivity of the building construction industry.  In addition to funding research, development and testing of technologies, RBI partners with key building sector stakeholders to tackle related challenges, including training and expansion of the workforce, development of effective business models, aggregated demand, and co-integration of other needs such as disaster resilience.","The Residential Buildings Integration subprogram focuses on developing efficiency-related building technologies that require minimal onsite construction and installation time, are affordable and appealing to the market, and leverage efforts to increase the productivity of the building construction industry.",40000,,,,,,,40000,,40000,,,,,,,,20000,20000,
Y,089-0321-0-1-270-0202,2021,Energy & Water,Y,DOE,EERE,Building Technologies,290000,Equipment and Buildings Standards: Appliance and Equipment Standards Program (ASP) ,45000,DOE FY22 Budget Request Volume 3 Part 1; Page 430,https://www.energy.gov/eere/buildings/building-technologies-office,The Appliance and Equipment Standards program is required by statute to develop and establish appliance/equipment energy efficiency standards for the purpose of saving the Nation energy. The program is legally required to meet legislative deadlines for issuing new and amended energy efficiency standards. Statute mandates that the Equipment and Buildings Standards program propose amended standards for covered products every six years ,The Appliance and Equipment Standards program is focuses on developing and establishing appliance/equipment energy efficiency standards for the purpose of saving the Nation energy.,45000,,,,,,,45000,,45000,,,,,,,,,,45000
Y,089-0321-0-1-270-0202,2021,Energy & Water,Y,DOE,EERE,Building Technologies,290000,Equipment and Buildings Standards: Building Energy Codes Program (BECP) ,10000,DOE FY22 Budget Request Volume 3 Part 1; Page 430,https://www.energy.gov/eere/buildings/building-technologies-office,"The Building Energy Codes Program (BECP) fulfills the statutory directives to the Secretary regarding building energy codes. In response to these directives, BTO supports the advancement of aggressive building energy codes, including participating in processes to update model energy codes, making a formal determination as to whether new editions increase energy efficiency in residential and commercial buildings, and providing technical assistance to states and local governments to support code implementation. Work under this activity provides technical assistance supporting building energy efficiency and emissions reductions, as well as resilience and other goals, through the development and implementation of building energy codes and standards. ","The Building Energy Codes Program (BECP)  supports the advancement of aggressive building energy codes, including participating in processes to update model energy codes, making a formal determination as to whether new editions increase energy efficiency in residential and commercial buildings, and providing technical assistance to states and local governments to support code implementation.",10000,,,,,,,10000,,10000,,,,,,,,,,10000
Y,089-0321-0-1-270-0203,2021,Energy & Water,Y,DOE,EERE,Weatherization and Intergovernmental Programs,377500,Weatherization Assistance Program ,315000,DOE FY22 Budget Request Volume 3 Part 1; Page 443,https://www.energy.gov/eere/wipo/weatherization-and-intergovernmental-programs-office,"The subprogram's  objective to increase the energy efficiency of dwellings owned or occupied by low-income persons, reduce their total residential energy expenditures, and improve their health and safety. Activities include provding grants to support residential retrofits while providing funding for workforce development, training, and technical assistance to weatherization service providers.","The Weatherization Assistance Program (WAP) aims to increase the energy efficiency of dwellings owned or occupied by low-income persons, reduce their total residential energy expenditures, and improve their health and safety. ",315000,,,,,,,315000,,315000,,,,,,,,,,315000
Y,089-0321-0-1-270-0203,2021,Energy & Water,Y,DOE,EERE,Weatherization and Intergovernmental Programs,377500,State Energy Program ,62500,DOE FY22 Budget Request Volume 3 Part 1; Page 446,https://www.energy.gov/eere/wipo/weatherization-and-intergovernmental-programs-office,"The State Energy Program (SEP) strategically engages the leadership of states in deploying clean energy technologies across the U.S. SEP funding transforms the energy economy state by state, establishing and implementing clean energy policies, plans, and programs to reduce energy costs, enhance economic competitiveness, improve emergency planning, and improve the environment. SEP provides states with capacity building resources, technical assistance, and best practice sharing networks to facilitate the adoption of plans, policies, and programs appropriate to state and regional circumstances.","The State Energy Program (SEP)  engages the leadership of states in deploying clean energy technologies across the U.S, establishing and implementing clean energy policies, plans, and programs to reduce energy costs, enhance economic competitiveness,and more.",62500,,,62500,,,,,,,62500,,,,,,,,,62500
Y,089-0319-0-1-999-0042,2021,Energy & Water,Y,DOE,Nuclear,Integrated University Program ,5000,No Program/Research Area (Integrated University Program),5000,FY22 Budget Request Volume 3 Part 2 Page 14,https://www.energy.gov/ne/nuclear-energy-university-program,Support nuclear science and engineering study and research by fully funding approximately 30 multi-year student fellowships and approximately 45 single-year scholarships in the nuclear energy field of study.,"The Integrated University Program engages U.S. colleges and universities to conduct research and development (R&D), enhance infrastructure, and support student education, thereby helping to sustain a world-class nuclear energy and workforce capability.",5000,,,5000,,,,,,,5000,,,,,,,5000,,
Y,089-0319-0-1-999-0502,2021,Energy & Water,Y,DOE,Nuclear,Supercritical Transformational Electric Power Research and Development (STEP R&D) ,5000,No Program/Research Area (Supercritical Transformational Electric Power Research and Development),5000,FY22 Budget Request Volume 3 Part 2 Page 17,https://www.energy.gov/ne/articles/energy-department-announces-new-investments-supercritical-transformational-electric,Project to develop and scale-up advanced Supercritical Carbon Dioxide (sCO2) Brayton cycle energy conversion technology to facilitate commercial development and make advanced nuclear energy technologies more cost competitive. ,The Supercritical Transformational Electric Power Research and Development (STEP R&D) initiative was a collaborative  project to develop and scale-up advanced Supercritical Carbon Dioxide (sCO2) Brayton cycle energy conversion technology to facilitate commercial development. ,5000,,,5000,,,,,,,5000,,,,,,,5000,,
Y,089-0319-0-1-999-0032,2021,Energy & Water,Y,DOE,Nuclear,"Reactor Concepts Research, Development and Demonstration (RD&D) ",208000,Advanced Small Modular Reactor RD&D ,115000,FY22 Budget Request Volume 3 Part 2 Page 25,,"Subprogram seeks to  facilitate development and demonstration of advanced SMR designs that have the potential to provide safe, clean, and affordable energy generation options.","The Advanced Small Modular Reactor (SMR) Research, Development and Demonstration (RD&D) subprogram supports the development of advanced SMR designs support R&D to assist in maturing concepts toward commercial readiness.",115000,,,115000,,,,,,,115000,,,,,,,115000,,
Y,089-0319-0-1-999-0032,2021,Energy & Water,Y,DOE,Nuclear,"Reactor Concepts Research, Development and Demonstration (RD&D) ",208000,Light Water Reactor Sustainability ,47000,FY22 Budget Request Volume 3 Part 2 Page 27,,"Subprogram to conduct R&D on the following technical areas: Plant Modernization, Flexible Plant Operations and Generation, Risk-Informed Systems Analysis, Physical Security Research, and Materials Research.","The Light Water Reactor Sustainability (LWRS) subprogram conducts research and development (R&D) on technologies and other solutions that can improve economics, sustain safety, and maintain the technical reliability of the current domestic fleet of commercial nuclear power plants.",47000,,,47000,,,,,,,47000,,,,,,,47000,,
Y,089-0319-0-1-999-0032,2021,Energy & Water,Y,DOE,Nuclear,"Reactor Concepts Research, Development and Demonstration (RD&D) ",208000,Advanced Reactor Technologies ,46000,FY22 Budget Request Volume 3 Part 2 Page 29,,Conducts research and development (R&D) activities to reduce technical risks associated with advanced reactor technologies and systems.,The Advanced Reactor Technologies (ART) subprogram conducts essential research and development activities to reduce technical risks associated with advanced reactor technologies and systems.,46000,,,46000,,,,,,,46000,,,,,,,46000,,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,Material Recovery and Waste Form Development ,25000,FY22 Budget Request Volume 3 Part 2 Page 38,,"MRWFD subprogram evaluates the feasibility of different technologies providing a limited supply of high-assay low enriched uranium (HALEU) to support fuel-fabrication R&D  needs for potential future demonstration of advanced reactor concepts. MRWFD applies the unique expertise and technical capabilities to a broad range of applications such as a fundamental understanding of various chemical challenges related to civil nuclear applications. It also funds research on integrated advanced technologies encompassing R&D on off gas capture, waste form development. The subprogram employs a science-based approach to foster innovative and transformational technology solutions.","The Material Recovery and Waste Form Development (MRWFD) subprogram focuses on advanced fuel cycle technologies that have the potential to improve resource utilization and energy generation, reduce waste generation, and limit proliferation risk. ",25000,,,25000,,,,,,,12500,,,12500,,,,25000,,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,"Mining, Conversion, and Transportation",2000,FY22 Budget Request Volume 3 Part 2 Page 40,,"This subprogram supports, cost-shared R&D that enables technological advances in uranium mining, conversion, and transportation capabilities in the US as well as the conducting evaluations and assessments related to these areas. This subprogram supports activities related to the front end of the nuclear fuel cycle and supply chain.","This subprogram supports, cost-shared R&D that enables technological advances in uranium mining, conversion, and transportation capabilities in the US as well as the conducting evaluations and assessments related to these areas.",2000,,,2000,,,,,,,2000,,,,,,,2000,,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,Civil Nuclear Enrichment ,40000,FY22 Budget Request Volume 3 Part 2 Page 42,,"This subprogram executes a three-year, limited scope, demonstration of a U.S. origin, enrichment technology for producing high-assay, low enriched uranium (HALEU). FY 2021 is the final year of funding for this initiative and the demonstration will conclude on June 1, 2022. Many advanced reactor concepts are anticipated to require HALEU. Currently, there is no enrichment facility in the United States (U.S.) to produce HALEU for industry’s advanced reactor demonstration and deployment.","The Civil Nuclear Enrichment subprogram was a limited scope project focused on the demonstration of a U.S. origin, enrichment technology for producing high-assay, low enriched uranium (HALEU). ",40000,,,40000,,,,,,,40000,,,,,,,,40000,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,Accident Tolerant Fuels ,105800,FY22 Budget Request Volume 3 Part 2 Page 46,,The subprogram mission is enabling industry’s development of one or more light water reactor (LWR) fuel concepts with significantly enhanced accident tolerance through cost shared R&D. This subprogram supports the industry’s objective to install the first reload quantities of accident tolerant fuel in pilot plants by the mid-2020s and qualify the fuel for use at higher burnup levels.,The subprogram mission is  to explore advanced LWR fuel with enhanced accident tolerance to benefit existing U.S. commercial nuclear power reactors.,105800,,,105800,,,,,,,105800,,,,,,,105800,,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,TRISO Fuel and Graphite Qualification ,36000,FY22 Budget Request Volume 3 Part 2 Page 48,,"The Tristructural-isotropic (TRISO)-coated particle fuel and graphite subprogram includes activities for fuel and material irradiation, post-irradiation examination (PIE) and safety testing, fuel performance modeling, and fission product transport and source term research.","The Tristructural-isotropic (TRISO)-coated particle fuel and graphite subprogram includes activities for fuel and material irradiation, post-irradiation examination (PIE) and safety testing, fuel performance modeling, and fission product transport and source term research.",36000,,,36000,,,,,,,36000,,,,,,,36000,,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,Fuel Cycle Core R&D ,20000,FY22 Budget Request Volume 3 Part 2 Page 53,,"MPACT develops innovative technologies, analysis tools and advanced integration methods to enable U.S. domestic nuclear materials management and safeguards for emerging nuclear fuel cycles. It also includes assessing vulnerabilities in current nuclear systems while minimizing proliferation risks","This subprogram supports innovative research activities that advance the knowledge base for nuclear fuel cycles and provide transformative changes to accelerate development of civil nuclear technologies, including consideration of fuel cycle impacts from the potential deployment of advanced reactor technologies. ",20000,,,20000,,,,,,,20000,,,,,,,20000,,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,Used Nuclear Fuel Disposition R&D ,62500,FY22 Budget Request Volume 3 Part 2 Page 52,,"The Used Nuclear Fuel Disposition Research and Development (R&D) subprogram conducts scientific research and technology development to enable long term storage, transportation, and disposal of spent nuclear fuel and wastes. The primary focus of this subprogram supports the development of disposition-path-neutral waste management systems and options in the context of the current inventory of spent nuclear fuel and waste.","The Used Nuclear Fuel Disposition Research and Development (R&D) subprogram conducts scientific research and technology development to enable long term storage, transportation, and disposal of spent nuclear fuel and wastes. ",62500,,,62500,,,,,,,62500,,,,,,,62500,,
Y,089-0319-0-1-999-0041,2021,Energy & Water,Y,DOE,Nuclear,Fuel Cycle Research and Development ,309300,Integrated Waste Management System ,18000,FY22 Budget Request Volume 3 Part 2 Page 58,,"Subprogram to support efforts to implement interim storage of the nation’s  spent nuclear fuel and high-level radioactive waste as part of an overarching waste management system, as well as storage, transportation, and system development and analysis activities. Funding also supports the development of transportation infrastrusture of spent radioactive materials & investigation into methods of storage system design and   advanced manufacturing techniques for spent fuel containers. Involves some innovation waste disposal but not directly for nuclear technologies that would lead to GHG reductions."," The Integrated Waste Management System subprogram supports efforts develop and implement a consent-based interim storage program as part of an overarching waste management system, as well as storage, transportation, and system development and analysis activities.",18000,,,9000,,9000,,,,,18000,,,,,,,6000,6000,6000
Y,089-0319-0-1-999-0043,2021,Energy & Water,Y,DOE ,Nuclear,Nuclear Energy Enabling Technologies ,122869,Crosscutting Technology Development ,28000,FY22 Budget Request Volume 3 Part 2 Page 66,,"The CTD subprogram focuses on foundational research that addresses technical gaps in order to support and enable new state-of-the-art transformative technologies needed to maintain the current fleet of nuclear reactors and support the development of advanced reactors (including large, small, and micro-sized designs) and advanced fuels. This includes research on advanced sensors and instrumentation, ciritcal minerals and advanced energy storage, integrated energy systems, and more.","The Crosscutting Technology Development (CTD) subprogram develops innovative solutions to crosscutting nuclear energy technology challenges, largely through competitively awarded research and development (R&D) projects with United States (U.S.) industry, universities, and national laboratory partners.",28000,,,28000,,,,,,,14000,,,,,,14000,28000,,
Y,089-0319-0-1-999-0043,2021,Energy & Water,Y,DOE ,Nuclear,Nuclear Energy Enabling Technologies ,122869,Joint Modeling and Simulation Program ,35000,FY22 Budget Request Volume 3 Part 2 Page 67,,"NEAMS program  develops state-of-the-art, multi-scale models of physics and chemistry that drive advanced computational methods for simulations of advanced nuclear energy systems. NEAMS developed a set of analytic modeling and simulation tools that is flexible and able to accommodate different reactor types and designs.","The Joint Modeling and Simulation subprogram, as implemented through the Nuclear Energy Advanced Modeling and Simulation (NEAMS) program, develops state-of-the-art, multi-scale models of physics and chemistry that drive advanced computational methods for simulations of advanced nuclear energy systems.",35000,,,35000,,,,,,,35000,,,,,,,,,35000
Y,089-0319-0-1-999-0043,2021,Energy & Water,Y,DOE ,Nuclear,Nuclear Energy Enabling Technologies ,122869,Nuclear Science User Facilities ,30000,FY22 Budget Request Volume 3 Part 2 Page 68,,"This  subprogram is the Nation’s designated program to gain access to user facilities for nuclear energy research. The NSUF provides a mechanism for research organizations to collaborate, conduct experiments and post-experiment analysis, and utilize high performance computing at facilities not normally accessible to these organizations. ",The Nuclear Science User Facilities (NSUF) subprogram is the Nation’s designated program to gain access to user facilities for nuclear energy research,30000,,,30000,,,,,,,30000,,,,,,,30000,,
Y,089-0319-0-1-999-0043,2021,Energy & Water,Y,DOE ,Nuclear,Nuclear Energy Enabling Technologies ,122869,Transformational Challenge Reactor ,29869,FY22 Budget Request Volume 3 Part 2 Page 71,,The Transformational Challenge Reactor (TCR) subprogram provided a revolutionary platform to help demonstrate the ability to reduce the deployment costs and timelines for nuclear energy systems and enhanced the development of breakthrough technologies that provided the ability to manufacture small/micro advanced reactor components using additive manufacturing techniques. A central goal of the TCR subprogram was to demonstrate the ability to exploit advanced manufacturing techniques and digital predictive analysis capabilities to deliver a new approach to nuclear design and qualification for advanced reactor technologies. TCR combined advanced manufacturing with materials and computational sciences to predict optimal performance of components to enable faster innovation and certification.,The Transformational Challenge Reactor (TCR) subprogram provided a revolutionary platform to help demonstrate the ability to reduce the deployment costs and timelines for nuclear energy systems and enhanced the development of breakthrough technologies.,29869,,,29869,,,,,,,29869,,,,,,,,29869,
Y,089-0319-0-1-999-0034,2021,Energy & Water,Y,DOE ,Nuclear,Advanced Reactor Demonstration Program ,250000,National Reactor Innovation Center ,30000,FY22 Budget Request Volume 3 Part 2 Page 79,https://www.energy.gov/ne/advanced-reactor-demonstration-program,"The National Reactor Innovation Center (NRIC) mission is to enable and accelerate the testing and demonstration of advanced reactors.  NRIC provides private sector technology developers with access to the strategic infrastructure and assets of the national laboratories to enable physical validation of advanced nuclear reactor concepts, resolve technical uncertainties, and generate data relevant to safety, resilience, security, and functionality of advanced nuclear reactor concepts. NRIC works closely with R&D programs within the Office of Nuclear Energy to avoid duplication. NRIC does not conduct R&D, it facilitates information sharing and connectivity necessary to enable the demonstration of selected nuclear reactor designs. Activites include: interactions with reactor developers who are considering options for demonstrating their reactor technologies as well as investigation and development of national laboratory capabilities for hosting advanced reactor demonstrations.",The National Reactor Innovation Center (NRIC) mission is to enable and accelerate the testing and demonstration of advanced reactors by utilizing the unique capabilities of U.S. national laboratories.  NRIC provides private sector technology developers with access to the strategic infrastructure and assets of the national laboratories to enable advancements in nuclear technology.,30000,,,30000,,,,,,,30000,,,,,,,,30000,
Y,089-0319-0-1-999-0034,2021,Energy & Water,Y,DOE ,Nuclear,Advanced Reactor Demonstration Program ,250000,Demonstration 1 ,80000,FY22 Budget Request Volume 3 Part 2 Page 81,https://www.energy.gov/ne/advanced-reactor-demonstration-program,"This subprogram focuses efforts on the execution of cost-shared projects for the eventual construction of two advanced reactor demonstrations, including design development, engineering, safety analysis, and licensing activities that are required to submit construction permits and licensing applications to the Nuclear Regulatory Commission (NRC). In FY21, DOE completed award negotiations and formalized cooperative agreements with two advanced reactor vendor organizations. Demonstration reactor partners completed and submitted several early-stage project deliverables to DOE for milestones consistent with their project applications.",These subprograms will begin to focus efforts on the eventual construction of two advanced reactor demonstrations that can be operational within seven years. ,80000,,,80000,,,,,,,80000,,,,,,,,80000,
Y,089-0319-0-1-999-0034,2021,Energy & Water,Y,DOE ,Nuclear,Advanced Reactor Demonstration Program ,250000,Demonstration 2 ,80000,Same as above,https://www.energy.gov/ne/advanced-reactor-demonstration-program,Same as above,These subprograms will begin to focus efforts on the eventual construction of two advanced reactor demonstrations that can be operational within seven years. ,80000,,,80000,,,,,,,80000,,,,,,,,80000,
Y,089-0319-0-1-999-0034,2021,Energy & Water,Y,DOE ,Nuclear,Advanced Reactor Demonstration Program ,250000,Risk Reduction for Future Demonstrations ,40000,FY22 Budget Request Volume 3 Part 2 Page 84,https://www.energy.gov/ne/advanced-reactor-demonstration-program,"This suprogram supports projects that address technical challenges associated for future demonstrations of additional advanced reactor technologies. This subprogram coordinates closely with the Reactor Concepts Research, Development & Demonstration program and other relevant programs to avoid duplication, leverage existing expertise, and maximize synergies. In FY 2021, DOE announced the selection of five projects to aid advanced reactor developers in resolving technical, operational, and regulatory challenges to enable future demonstration of a diverse set of advanced reactor designs. The Risk Reduction projects support the development of safe and affordable advanced reactor technologies that can be licensed and deployed over the next 10 to 14 years. Industry partners will provide at least 20 percent in matching funds for their cost share of the program. May include some R&D to support these efforts.",The Risk Reduction for Future Demonstrations subprogram supports the potential future demonstration of additional advanced reactor technologies and projects that are aimed at reducing risk and technical uncertainty for a broad range of advanced reactor designs.,40000,,,40000,,,,,,,40000,,,,,,,20000,20000,
Y,089-0319-0-1-999-0034,2021,Energy & Water,Y,DOE ,Nuclear,Advanced Reactor Demonstration Program ,250000,Regulatory Development ,15000,FY22 Budget Request Volume 3 Part 2 Page 85,https://www.energy.gov/ne/advanced-reactor-demonstration-program,"The Regulatory Development subprogram coordinates with the Nuclear Regulatory Commission (NRC) and industry to address and resolve key regulatory framework issues that directly impact the “critical path” to advanced reactor demonstration and deployment. Part of the subprogram focuses on regulatory modernization activities such as developing adaptations of light water reactor (LWR) based regulations for non-LWR advanced reactors, finalizing the establishment of risk-informed and performance-based license application guidance, and establishing clear expectations for license application content and review criteria. Other regulatory development activities include resolving the technical basis to support NRC endorsement of codes and standards important for the manufacture of advanced reactor components, and expanding access to priority material property data to be used in safety codes and models in support of licensing. Design- specific regulatory gaps for advanced reactors, including fast reactors, gas-cooled reactors, and molten salt reactors, are also addressed. ",The Regulatory Development subprogram coordinates with the Nuclear Regulatory Commission (NRC) and industry to address and resolve key regulatory framework issues that directly impact the “critical path” to advanced reactor demonstration and deployment.,15000,,,15000,,,,,,,15000,,,,,,,,,15000
Y,089-0319-0-1-999-0034,2021,Energy & Water,Y,DOE ,Nuclear,Advanced Reactor Demonstration Program ,250000,Advanced Reactor Safeguards ,5000,FY22 Budget Request Volume 3 Part 2 Page 88,https://www.energy.gov/ne/advanced-reactor-demonstration-program,"The Advanced Reactor Safeguards subprogram evaluates safeguards and security issues that are unique to advanced reactor designs. Project activities inform and improve advanced reactor designs by addressing issues such as diversion of advanced fuel forms, protection of remotely operated plants, and other proliferation and security concerns. This subprogram also helps to reduce security costs by utilizing the latest technologies and approaches for plant monitoring and protection. Coordination with the Nuclear Regulatory Commission (NRC), National Nuclear Security Administration (NNSA), and industry ensures duplication is avoided, existing expertise is leveraged, and synergies are maximized. ",The Advanced Reactor Safeguards subprogram evaluates safeguards and security issues that are unique to advanced reactor designs. ,5000,,,5000,,,,,,,5000,,,,,,,,5000,
Y,089-0319-0-1-999-0402,2021,Energy & Water,Y,DOE ,Nuclear,Versatile Test Reactor Project ,45000,Other Project Costs ,43000,FY22 Budget Request Volume 3 Part 2 Page 93,https://www.energy.gov/ne/versatile-test-reactor,"In February 2019, the Versatile Test Reactor (VTR) Project was formally initiated with Critical Decision (CD)-0, Approve Mission Need, in accordance with Department of Energy Order 413.3B requirements to support the construction of a sodium-cooled fast spectrum test reactor as the preferred strategy for meeting this critical mission. This line item will be used to fund VTR costs that are not included in the Versatile Test Reactor - Design and Construction (VTRDC), such as supporting research and development, pre- authorization costs prior to start of preliminary design, plant support costs during design, construction, activation, and startup. VTROPC will also include funding of those activities necessary to comply with National Environmental Policy Act requirements. Specific activities to be accomplished in FY 2022 are in the Activities and Explanation of Changes section.","This funding supports research and development, pre- authorization costs prior to start of preliminary design, plant support costs during design, construction, activation, and startup for the Versatile  Test Reactor Project.",43000,,,43000,,,,,,,43000,,,,,,,,43000,
